"aid","bvid","pubdate","title","description","tag","pic","type_id","user_id"
113944979117136,"BV1u5NAefE9W",1738670400,"【官方双语】这个未解之谜为我打开了拓扑的大门","本期视频讨论了利用莫比乌斯带和克莱因瓶来解决正方形/长方形内接问题的方法
https://youtu.be/IQqtsm-bBRU?si=xiH82yhX3wT5p74Y

翻译: Asuka Minato 畏狐之狐  idesty  校对 & 时间轴: 贰鼠","科学科普","http://i0.hdslb.com/bfs/archive/d31a037a1e62194d64041f52b047f5117958fad3.jpg",201,88461692
113890201505654,"BV1wnFFe8EPR",1737858600,"【洛天依AI｜日夜】“让梦就是梦，痛觉就是痛觉”","【诗岸原创曲】《日夜》
https://b23.tv/H18eAB5
————————
曲 合目
调绘视 月
监制 浮青雀
唱 洛天依
双本家
————————
我们没有原则性问题，矛盾也并不根本，只是被日常琐事淡漠了爱本身，也许换一个更宽容的人，这段关系也许能到老善终，但我不行。
我是懦弱的，所有直白都困难，越无力时越爱问为什么，
可答案已经从眼眶汩汩流出

记忆里我总爱想如果，可惜我们没有如果。

在经历了相当漫长的纠结和取舍后，我决定放手给彼此自由。
谢谢你维护着我生命中的小小火光。

对于爱会消散","VOCALOID·UTAU","http://i2.hdslb.com/bfs/archive/24bd30298c8d471b6f944613411b539d41bdafdd.jpg",30,697610290
113889496930188,"BV1s5fZYdELc",1737855000,"【官方双语】升维的艺术","本期视频我们从一些几何谜题出发，为大家展示升维所带来的解决问题的不同角度，以及我们被局限在三维世界里的些许遗憾
https://youtu.be/piJkuavhV50

翻译: 畏狐之狐  idesty  贰鼠 校对: 蛋卷 时间轴: 贰鼠","科学科普","http://i0.hdslb.com/bfs/archive/a57c562d1eb9a5b79ea69262ec406e7f462749cf.jpg",201,88461692
113858509277596,"BV1SMwUeUEYL",1737344116,"【杂谈】聊一聊『天狼星的心脏』的制作过程","一晚上三个小时聊的很快乐，嗓子都哑了！把所有想和大家分享的东西都讲到了，就是由于口才为零第一次开麦直播有点紧张，希望大家理解orz。

构思 - 00:00:00
工程 - 00:48:48
回答 - 02:08:41
闲聊 - 02:32:28","设计·创意","http://i0.hdslb.com/bfs/archive/46ba65ece331edf9e91f69643c985a32017cb45b.jpg",229,302469604
113770244477960,"BV1PgrWYSEZJ",1735996503,"【诗岸原创曲】日夜","","VOCALOID·UTAU","http://i0.hdslb.com/bfs/archive/039d5b6b7f8029d53026d318ceb8f939eaff15c2.jpg",30,697610290
113748668846636,"BV1wR6SYDESW",1735667010,"日记241231","","VOCALOID·UTAU","http://i2.hdslb.com/bfs/archive/003bb4c01507ea8415b0e1cfb523dd4fe7db5e2b.jpg",30,697610290
113713621369471,"BV1EiCYY6Ec4",1735300800,"【自制MV】シリウスの心臓 | 天狼星的心脏 (feat. 异世界情绪)","位于大犬座的心脏的天狼星，是一颗由天狼星A和天狼星B所构成的双星系统。从太阳系出发，在无声的宇宙空间聆听两颗伴星的交流。在几乎永恒的环绕中无法相遇，因为相遇的代价是碰撞后的毁灭。也许这就是双星系统的解。

演唱：﻿@异世界情绪  
作词・作曲・编曲：傘村トータ 
PV：﻿@小豆子zyq  
模型：﻿@永眠配信  ﻿ ﻿@打破碗花花_afa  
本家：BV15v411t79V

完成了一件我期待已久的作品，算是完成了自己一个心愿。祝大家新年快乐！ 

制作花絮 & 经验分享：BV1SMwUeUEYL","MV","http://i0.hdslb.com/bfs/archive/84b4a309065c61cdc3901f9dbb98c942e8ddc87d.jpg",193,302469604
113645086311688,"BV16yBMYbEp3",1734105600,"温暖 / 白鳥煙 with.合目 （手书PV付）","「让我将
　　　　　最完整的自我歌唱」
——————————————————
音乐 / 合目（https://space.bilibili.com/697610290）
歌 / 白鸟烟
调声・PV / orchid

大家好今天是白鸟烟五周年谢谢谢谢创作出这样的这样的完美的歌曲的合目老师啊啊啊我语无伦次了总之请听请听请务必听…………


-
神秘链接（使用前请阅读使用规约！）：https://pan.baidu.com/s/1twwN4fIr9PauqS5NC-rb3Q?pwd=srtr","VOCALOID·UTAU","http://i2.hdslb.com/bfs/archive/eb10c156c0d9a02e88f31c2b7624fae4d30ff224.jpg",30,697610290
113554422240735,"BV1dvBXYVEDg",1732710600,"【官方双语】全息图是如何实现的 | 光学谜题5","从2d胶片构建的3d场景，更进一步我们谈到了衍射相关的课程
https://youtu.be/EmKQsSDlaa4

翻译：贰鼠  idesty  ZSC   校核&时轴：贰鼠

本篇课程没有广告赞助，取而代之的是由你们的帮助：https://3b1b.co/support

一键三联与分享，也是最大的支持！

偷偷改一点：结尾GRANT把|R^2|看待为“实数”，所以这里只会存在O的缩放。但这个条件只有振幅R为常数的情况下是有意义的，要么至少它在点的附近只能有缓慢的变化。这样我后面说的对R不做假设并不","科学科普","http://i1.hdslb.com/bfs/archive/4fe6a67420485652752851d9dc1f94ddb3a8be42.jpg",201,88461692
113535732485637,"BV15yBsYeEyj",1732417854,"叫做“浪花”翻以前的东西翻出来的一首没写完的歌词有点莫名其妙，也不知道怎么接着写感觉短短半年好多事都变了、","叫做“浪花”
翻以前的东西翻出来的一首没写完的
歌词有点莫名其妙，也不知道怎么接着写

感觉短短半年好多事都变了、","日常","http://i1.hdslb.com/bfs/archive/da217f9d83c60decde78a015cbf57671089f5fbc.png",21,697610290
